model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,8,late,-0.0806451612903225,0.1301319648093841,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,9,late,-0.0707478005865102,0.0626832844574779,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,10,late,-0.1649560117302052,0.0824780058651026,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,11,late,-0.128299120234604,0.0355571847507331,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,0,early,-0.2584310850439882,0.0791788856304985,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,1,early,-0.4904692082111436,-0.1026392961876832,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,2,early,-0.37866568914956,-0.0813782991202346,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,3,early,-0.3614369501466275,0.094941348973607,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,4,middle,-0.4164222873900293,-0.127565982404692,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,5,middle,-0.3577712609970674,0.0439882697947214,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,6,middle,-0.281524926686217,-0.0491202346041055,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,7,middle,-0.3306451612903225,-0.0403225806451612,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,8,late,-0.3244134897360703,0.0190615835777126,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,9,late,-0.2305718475073313,0.1187683284457477,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,10,late,-0.4255865102639296,-0.0113636363636363,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,18,11,late,-0.3189149560117301,-0.0102639296187683,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,0,early,-0.1037390029325513,-0.002199413489736,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,1,early,-0.0791788856304985,0.1715542521994134,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,2,early,0.0065982404692082,0.096774193548387,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,3,early,0.0205278592375366,0.1810850439882697,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,4,middle,-0.0227272727272727,0.1400293255131964,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,5,middle,0.0443548387096774,0.2324046920821113,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,6,middle,-0.0157624633431085,0.0425219941348973,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,7,middle,0.0047653958944281,0.0898093841642228,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,8,late,0.0989736070381231,0.2188416422287389,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,9,late,0.0685483870967741,0.1693548387096774,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,10,late,0.1121700879765395,0.2888563049853372,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,19,11,late,0.0139296187683284,0.1535923753665689,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,20,0,early,-0.3717008797653959,-0.2265395894428152,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,20,1,early,-0.2232404692082111,0.0498533724340175,32,available
